ID,Class,Order,Family,Genus,Species,Genus_and_species_,Genus_and_species,rmouillot,rnickwio,rmorais,rbrandl,rhalpern,ryeager,rnewman,rrls,randraldi,rwyatt,rhonorio,rclark,rharvey,rilarri,rmendes,rparrish,rpastro,rrodriguez,ralvarez,rbertoncini,rjohnson,rkattan,rleal,rpaula,rpereira,rramos,rrosa,rwilliams,runsworth,rsiquiera
3188,Actinopterygii (ray-finned fishes),Perciformes,Acanthuridae,Prionurus,biafraensis,Prionurus_biafraensis,Prionurus biafraensis,H,NA,NA,NA,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H
3189,Actinopterygii (ray-finned fishes),Perciformes,Plesiopidae,Calloplesiops,argus,Calloplesiops_argus,Calloplesiops argus,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I
3190,Actinopterygii (ray-finned fishes),Perciformes,Cirrhitidae,Paracirrhites,xanthus,Paracirrhites_xanthus,Paracirrhites xanthus,I,NA,NA,NA,NA,P,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3191,Actinopterygii (ray-finned fishes),Perciformes,Tripterygiidae,Enneapterygius,flavoccipitis,Enneapterygius_flavoccipitis,Enneapterygius flavoccipitis,O,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I
3192,Actinopterygii (ray-finned fishes),Perciformes,Tripterygiidae,Enneapterygius,philippinus,Enneapterygius_philippinus,Enneapterygius philippinus,O,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,O
3193,Actinopterygii (ray-finned fishes),Perciformes,Labridae,Bodianus,speciosus,Bodianus_speciosus,Bodianus speciosus,I,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I
3194,Actinopterygii (ray-finned fishes),Tetraodontiformes,Tetraodontidae,Ephippion,guttifer,Ephippion_guttifer,Ephippion guttifer,I,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I
3195,Actinopterygii (ray-finned fishes),Beryciformes,Trachichthyidae,Gephyroberyx,darwinii,Gephyroberyx_darwinii,Gephyroberyx darwinii,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3196,Actinopterygii (ray-finned fishes),Perciformes,Scaridae,Scarus,dubius,Scarus_dubius,Scarus dubius,O,NA,NA,NA,NA,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H
3197,Actinopterygii (ray-finned fishes),Perciformes,Scaridae,Scarus,flavipectoralis,Scarus_flavipectoralis,Scarus flavipectoralis,O,NA,NA,H,NA,NA,NA,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H
3198,Actinopterygii (ray-finned fishes),Perciformes,Scaridae,Scarus,rivulatus,Scarus_rivulatus,Scarus rivulatus,O,NA,H,H,NA,NA,NA,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H
3199,Actinopterygii (ray-finned fishes),Perciformes,Scaridae,Scarus,globiceps,Scarus_globiceps,Scarus globiceps,O,H,NA,H,NA,H,NA,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H
3200,Actinopterygii (ray-finned fishes),Perciformes,Scaridae,Scarus,prasiognathos,Scarus_prasiognathos,Scarus prasiognathos,O,H,NA,NA,NA,NA,NA,H,NA,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H
3201,Actinopterygii (ray-finned fishes),Perciformes,Scaridae,Scarus,dimidiatus,Scarus_dimidiatus,Scarus dimidiatus,O,NA,NA,H,NA,NA,NA,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H
3202,Actinopterygii (ray-finned fishes),Perciformes,Scaridae,Scarus,spinus,Scarus_spinus,Scarus spinus,O,NA,NA,H,NA,H,NA,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H
3203,Actinopterygii (ray-finned fishes),Perciformes,Scaridae,Scarus,schlegeli,Scarus_schlegeli,Scarus schlegeli,O,NA,H,H,NA,H,NA,H,NA,NA,NA,NA,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H
3204,Actinopterygii (ray-finned fishes),Perciformes,Scaridae,Chlorurus,bleekeri,Chlorurus_bleekeri,Chlorurus bleekeri,O,NA,NA,NA,NA,NA,NA,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H
3205,Actinopterygii (ray-finned fishes),Perciformes,Scaridae,Chlorurus,troschelii,Chlorurus_troschelii,Chlorurus troschelii,O,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H
3206,Actinopterygii (ray-finned fishes),Perciformes,Scaridae,Chlorurus,japanensis,Chlorurus_japanensis,Chlorurus japanensis,O,NA,NA,NA,NA,H,NA,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H
