ID,Class,Order,Family,Genus,Species,Genus_and_species,Gaspar,Nick_WIO,Morais,Brandl,Nick_Pacific,Halpern,Yeager,Newman,Rangel,Nagelkerken,RLS,rgaspar,rnickwio,rmorais,rbrandl,rhalpern,ryeager,rnewman,rrls
2733,Actinopterygii (ray-finned fishes),Perciformes,Carangidae,Gnathanodon,speciosus,Gnathanodon speciosus,FC,NA,Fish-cephalopod feeder,NA,NA,NA,NA,NA,NA,NA,#REF!,P,NA,P,NA,NA,NA,NA,I
2734,Actinopterygii (ray-finned fishes),Perciformes,Haemulidae,Diagramma,pictum,Diagramma pictum,IM,Invertivore,Mobile invertebrate feeder,InvMobMac,NA,NA,NA,NA,NA,NA,NA,I,I,I,I,NA,NA,NA,NA
2735,Actinopterygii (ray-finned fishes),Tetraodontiformes,Balistidae,Pseudobalistes,fuscus,Pseudobalistes fuscus,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,#REF!,I,NA,NA,NA,NA,NA,NA,I
2736,Actinopterygii (ray-finned fishes),Perciformes,Polynemidae,Polydactylus,sextarius,Polydactylus sextarius,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA
2737,Actinopterygii (ray-finned fishes),Perciformes,Sparidae,Pterogymnus,laniarius,Pterogymnus laniarius,IM,NA,NA,NA,NA,OMNI,NA,NA,NA,NA,#REF!,I,NA,NA,NA,O,NA,NA,I
2738,Actinopterygii (ray-finned fishes),Scorpaeniformes,Dactylopteridae,Dactyloptena,orientalis,Dactyloptena orientalis,IM,NA,Mobile invertebrate feeder,NA,NA,MINV,NA,NA,NA,NA,NA,I,NA,I,NA,I,NA,NA,NA
2739,Actinopterygii (ray-finned fishes),Perciformes,Sphyraenidae,Sphyraena,obtusata,Sphyraena obtusata,FC,NA,Fish-cephalopod feeder,NA,NA,NA,NA,NA,NA,NA,#REF!,P,NA,P,NA,NA,NA,NA,P
2740,Actinopterygii (ray-finned fishes),Perciformes,Sparidae,Stenotomus,chrysops,Stenotomus chrysops,IM,NA,NA,NA,NA,OMNI,NA,NA,NA,NA,NA,I,NA,NA,NA,O,NA,NA,NA
2741,Actinopterygii (ray-finned fishes),Perciformes,Mullidae,Pseudupeneus,prayensis,Pseudupeneus prayensis,IM,NA,Mobile invertebrate feeder,NA,NA,SAND,NA,NA,NA,NA,NA,I,NA,I,NA,I,NA,NA,NA
2742,Actinopterygii (ray-finned fishes),Aulopiformes,Synodontidae,Saurida,gracilis,Saurida gracilis,FC,NA,NA,NA,NA,PISC,NA,NA,NA,NA,#REF!,P,NA,NA,NA,P,NA,NA,P
2743,Actinopterygii (ray-finned fishes),Perciformes,Sparidae,Dentex,gibbosus,Dentex gibbosus,IM,NA,Mobile invertebrate feeder,NA,NA,OMNI,NA,NA,NA,NA,NA,I,NA,I,NA,O,NA,NA,NA
2744,Actinopterygii (ray-finned fishes),Perciformes,Sparidae,Dentex,maroccanus,Dentex maroccanus,IM,NA,Mobile invertebrate feeder,NA,NA,OMNI,NA,NA,NA,NA,NA,I,NA,I,NA,O,NA,NA,NA
2745,Actinopterygii (ray-finned fishes),Perciformes,Sparidae,Dentex,canariensis,Dentex canariensis,FC,NA,Fish-cephalopod feeder,NA,NA,OMNI,NA,NA,NA,NA,NA,P,NA,P,NA,O,NA,NA,NA
