ID,Class,Order,Family,Genus,Species,Genus_and_species,Gaspar,Nick_WIO,Morais,Brandl,Nick_Pacific,Halpern,Yeager,Newman,Rangel,Nagelkerken,RLS,rgaspar,rnickwio,rmorais,rbrandl,rhalpern,ryeager,rnewman,rrls
311,Actinopterygii (ray-finned fishes),Perciformes,Pomacentridae,Chromis,dimidiata,Chromis dimidiata,PK,NA,NA,NA,NA,NA,NA,NA,NA,NA,#REF!,PK,NA,NA,NA,NA,NA,NA,PK
312,Actinopterygii (ray-finned fishes),Perciformes,Pomacentridae,Chromis,flavicauda,Chromis flavicauda,PK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PK,NA,NA,NA,NA,NA,NA,NA
313,Actinopterygii (ray-finned fishes),Perciformes,Pomacentridae,Chromis,flavipectoralis,Chromis flavipectoralis,PK,NA,NA,NA,NA,NA,NA,NA,NA,NA,#REF!,PK,NA,NA,NA,NA,NA,NA,PK
314,Actinopterygii (ray-finned fishes),Perciformes,Pomacentridae,Chromis,intercrusma,Chromis intercrusma,PK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PK,NA,NA,NA,NA,NA,NA,NA
315,Actinopterygii (ray-finned fishes),Perciformes,Pomacentridae,Chromis,klunzingeri,Chromis klunzingeri,PK,NA,NA,NA,NA,NA,NA,NA,NA,NA,#REF!,PK,NA,NA,NA,NA,NA,NA,PK
316,Actinopterygii (ray-finned fishes),Perciformes,Pomacentridae,Chromis,limbata,Chromis limbata,PK,NA,NA,NA,NA,DPLA,NA,NA,NA,NA,#REF!,PK,NA,NA,NA,PK,NA,NA,PK
317,Actinopterygii (ray-finned fishes),Perciformes,Pomacentridae,Chromis,limbaughi,Chromis limbaughi,PK,NA,NA,NA,NA,NA,NA,NA,NA,NA,#REF!,PK,NA,NA,NA,NA,NA,NA,PK
318,Actinopterygii (ray-finned fishes),Syngnathiformes,Centriscidae,Centriscus,cristatus,Centriscus cristatus,PK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PK,NA,NA,NA,NA,NA,NA,NA
319,Actinopterygii (ray-finned fishes),Perciformes,Callionymidae,Callionymus,limiceps,Callionymus limiceps,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA
320,Actinopterygii (ray-finned fishes),Anguilliformes,Muraenidae,Uropterygius,macularius,Uropterygius macularius,IM,NA,NA,NA,NA,MCAR,NA,NA,NA,NA,NA,I,NA,NA,NA,P,NA,NA,NA
321,Actinopterygii (ray-finned fishes),Tetraodontiformes,Monacanthidae,Stephanolepis,setifer,Stephanolepis setifer,OM,NA,NA,NA,NA,OMNI,NA,NA,NA,NA,NA,O,NA,NA,NA,O,NA,NA,NA
322,Actinopterygii (ray-finned fishes),Perciformes,Pomacentridae,Amphiprion,akindynos,Amphiprion akindynos,PK,NA,NA,Plankton,NA,NA,NA,NA,NA,NA,#REF!,PK,NA,NA,PK,NA,NA,NA,O
323,Actinopterygii (ray-finned fishes),Perciformes,Pomacentridae,Chrysiptera,flavipinnis,Chrysiptera flavipinnis,OM,NA,NA,NA,NA,NA,NA,NA,NA,NA,#REF!,O,NA,NA,NA,NA,NA,NA,O
324,Actinopterygii (ray-finned fishes),Perciformes,Pomacentridae,Chrysiptera,niger,Chrysiptera niger,OM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,O,NA,NA,NA,NA,NA,NA,NA
325,Actinopterygii (ray-finned fishes),Perciformes,Pomacentridae,Chrysiptera,rapanui,Chrysiptera rapanui,OM,NA,NA,NA,NA,NA,NA,NA,NA,NA,#REF!,O,NA,NA,NA,NA,NA,NA,O
326,Actinopterygii (ray-finned fishes),Perciformes,Sciaenidae,Umbrina,broussonnetii,Umbrina broussonnetii,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA
327,Actinopterygii (ray-finned fishes),Perciformes,Pomacentridae,Dascyllus,flavicaudus,Dascyllus flavicaudus,PK,NA,NA,NA,NA,NA,NA,NA,NA,NA,#REF!,PK,NA,NA,NA,NA,NA,NA,PK
328,Actinopterygii (ray-finned fishes),Perciformes,Sciaenidae,Argyrosomus,japonicus,Argyrosomus japonicus,FC,NA,Fish-cephalopod feeder,NA,NA,NA,NA,NA,NA,NA,#REF!,P,NA,P,NA,NA,NA,NA,P
329,Actinopterygii (ray-finned fishes),Perciformes,Pomacentridae,Dascyllus,marginatus,Dascyllus marginatus,PK,NA,NA,NA,NA,NA,NA,NA,NA,NA,#REF!,PK,NA,NA,NA,NA,NA,NA,PK
330,Actinopterygii (ray-finned fishes),Perciformes,Pomacentridae,Neoglyphidodon,oxyodon,Neoglyphidodon oxyodon,OM,NA,NA,NA,NA,NA,NA,NA,NA,NA,#REF!,O,NA,NA,NA,NA,NA,NA,PK
331,Actinopterygii (ray-finned fishes),Perciformes,Sciaenidae,Umbrina,coroides,Umbrina coroides,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA
332,Actinopterygii (ray-finned fishes),Perciformes,Cheilodactylidae,Nemadactylus,douglasii,Nemadactylus douglasii,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,#REF!,I,NA,NA,NA,NA,NA,NA,I
333,Actinopterygii (ray-finned fishes),Perciformes,Cheilodactylidae,Goniistius,zebra,Goniistius zebra,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,#REF!,I,NA,NA,NA,NA,NA,NA,I
334,Actinopterygii (ray-finned fishes),Perciformes,Serranidae,Cephalopholis,cruentata,Cephalopholis cruentata,IM,NA,Fish-cephalopod feeder,NA,NA,MCAR,NA,NA,NA,NA,#REF!,I,NA,P,NA,P,NA,NA,P
335,Actinopterygii (ray-finned fishes),Perciformes,Scombridae,Scomberomorus,cavalla,Scomberomorus cavalla,FC,NA,Fish-cephalopod feeder,NA,NA,NA,NA,NA,NA,NA,NA,P,NA,P,NA,NA,NA,NA,NA
336,Actinopterygii (ray-finned fishes),Scorpaeniformes,Scorpaenidae,Pontinus,castor,Pontinus castor,IM,NA,NA,NA,NA,MINV,NA,NA,NA,NA,NA,I,NA,NA,NA,I,NA,NA,NA
337,Actinopterygii (ray-finned fishes),Beryciformes,Trachichthyidae,Optivus,elongatus,Optivus elongatus,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA
338,Actinopterygii (ray-finned fishes),Scorpaeniformes,Scorpaenidae,Scorpaena,plumieri,Scorpaena plumieri,IM,NA,NA,NA,NA,MINV,NA,Piscivore-Invertivore,Ca,NA,#REF!,I,NA,NA,NA,I,NA,P,P
339,Actinopterygii (ray-finned fishes),Beryciformes,Anomalopidae,Phthanophaneron,harveyi,Phthanophaneron harveyi,PK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PK,NA,NA,NA,NA,NA,NA,NA
340,Actinopterygii (ray-finned fishes),Perciformes,Acanthuridae,Zebrasoma,xanthurum,Zebrasoma xanthurum,HD,NA,NA,NA,NA,NA,NA,NA,NA,NA,#REF!,H,NA,NA,NA,NA,NA,NA,H
341,Actinopterygii (ray-finned fishes),Batrachoidiformes,Batrachoididae,Sanopus,splendidus,Sanopus splendidus,IM,NA,NA,NA,NA,MINV,NA,NA,NA,NA,NA,I,NA,NA,NA,I,NA,NA,NA
342,Actinopterygii (ray-finned fishes),Scorpaeniformes,Tetrarogidae,Glyptauchen,panduratus,Glyptauchen panduratus,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,#REF!,I,NA,NA,NA,NA,NA,NA,I
343,Actinopterygii (ray-finned fishes),Lophiiformes,Ogcocephalidae,Ogcocephalus,rostellum,Ogcocephalus rostellum,IM,NA,NA,NA,NA,MINV,NA,NA,NA,NA,NA,I,NA,NA,NA,I,NA,NA,NA
344,Actinopterygii (ray-finned fishes),Lophiiformes,Ogcocephalidae,Ogcocephalus,pantostictus,Ogcocephalus pantostictus,IM,NA,NA,NA,NA,MINV,NA,NA,NA,NA,NA,I,NA,NA,NA,I,NA,NA,NA
345,Actinopterygii (ray-finned fishes),Perciformes,Serranidae,Diplectrum,formosum,Diplectrum formosum,IM,NA,Mobile invertebrate feeder,NA,NA,MCAR,NA,NA,NA,NA,NA,I,NA,I,NA,P,NA,NA,NA
346,Actinopterygii (ray-finned fishes),Lophiiformes,Ogcocephalidae,Ogcocephalus,declivirostris,Ogcocephalus declivirostris,IM,NA,NA,NA,NA,MINV,NA,NA,NA,NA,NA,I,NA,NA,NA,I,NA,NA,NA
347,Actinopterygii (ray-finned fishes),Scorpaeniformes,Synanceiidae,Inimicus,caledonicus,Inimicus caledonicus,FC,NA,NA,NA,NA,NA,NA,NA,NA,NA,#REF!,P,NA,NA,NA,NA,NA,NA,P
348,Actinopterygii (ray-finned fishes),Perciformes,Serranidae,Epinephelus,drummondhayi,Epinephelus drummondhayi,IM,NA,Mobile invertebrate feeder,NA,NA,MCAR,NA,NA,NA,NA,NA,I,NA,I,NA,P,NA,NA,NA
349,Actinopterygii (ray-finned fishes),Scorpaeniformes,Tetrarogidae,Paracentropogon,longispinis,Paracentropogon longispinis,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA
350,Actinopterygii (ray-finned fishes),Perciformes,Serranidae,Epinephelus,flavolimbatus,Epinephelus flavolimbatus,IM,NA,NA,NA,NA,MCAR,NA,NA,NA,NA,NA,I,NA,NA,NA,P,NA,NA,NA
351,Actinopterygii (ray-finned fishes),Perciformes,Serranidae,Epinephelus,mystacinus,Epinephelus mystacinus,FC,NA,NA,NA,NA,MCAR,NA,NA,NA,NA,NA,P,NA,NA,NA,P,NA,NA,NA
352,Actinopterygii (ray-finned fishes),Perciformes,Serranidae,Epinephelus,nigritus,Epinephelus nigritus,IM,NA,Fish-cephalopod feeder,NA,NA,MCAR,NA,NA,NA,NA,NA,I,NA,P,NA,P,NA,NA,NA
353,Actinopterygii (ray-finned fishes),Perciformes,Serranidae,Epinephelus,niveatus,Epinephelus niveatus,IM,NA,Fish-cephalopod feeder,NA,NA,MCAR,NA,NA,Ca,NA,NA,I,NA,P,NA,P,NA,NA,NA
354,Actinopterygii (ray-finned fishes),Scorpaeniformes,Scorpaenidae,Scorpaenopsis,cirrosa,Scorpaenopsis cirrosa,FC,NA,NA,NA,NA,NA,NA,NA,NA,NA,#REF!,P,NA,NA,NA,NA,NA,NA,P
355,Actinopterygii (ray-finned fishes),Scorpaeniformes,Synanceiidae,Synanceia,nana,Synanceia nana,FC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P,NA,NA,NA,NA,NA,NA,NA
356,Actinopterygii (ray-finned fishes),Scorpaeniformes,Pataecidae,Aetapcus,maculatus,Aetapcus maculatus,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,#REF!,I,NA,NA,NA,NA,NA,NA,I
357,Actinopterygii (ray-finned fishes),Scorpaeniformes,Pataecidae,Neopataecus,waterhousii,Neopataecus waterhousii,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA
358,Actinopterygii (ray-finned fishes),Perciformes,Serranidae,Mycteroperca,bonaci,Mycteroperca bonaci,FC,NA,Fish-cephalopod feeder,NA,NA,PISC,NA,Top Predator,NA,NA,#REF!,P,NA,P,NA,P,NA,P,P
359,Actinopterygii (ray-finned fishes),Siluriformes,Plotosidae,Cnidoglanis,macrocephalus,Cnidoglanis macrocephalus,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,#REF!,I,NA,NA,NA,NA,NA,NA,I
360,Actinopterygii (ray-finned fishes),Siluriformes,Plotosidae,Paraplotosus,albilabris,Paraplotosus albilabris,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA
361,Actinopterygii (ray-finned fishes),Perciformes,Scombridae,Scomberomorus,commerson,Scomberomorus commerson,FC,NA,Fish-cephalopod feeder,NA,NA,NA,NA,NA,NA,NA,#REF!,P,NA,P,NA,NA,NA,NA,P
362,Actinopterygii (ray-finned fishes),Perciformes,Serranidae,Mycteroperca,cidi,Mycteroperca cidi,FC,NA,NA,NA,NA,PISC,NA,NA,NA,NA,NA,P,NA,NA,NA,P,NA,NA,NA
363,Actinopterygii (ray-finned fishes),Perciformes,Serranidae,Mycteroperca,interstitialis,Mycteroperca interstitialis,FC,NA,Fish-cephalopod feeder,NA,NA,PISC,NA,NA,Ca,NA,#REF!,P,NA,P,NA,P,NA,NA,P
364,Actinopterygii (ray-finned fishes),Perciformes,Serranidae,Mycteroperca,microlepis,Mycteroperca microlepis,FC,NA,Fish-cephalopod feeder,NA,NA,PISC,NA,NA,NA,NA,NA,P,NA,P,NA,P,NA,NA,NA
365,Actinopterygii (ray-finned fishes),Perciformes,Serranidae,Niphon,spinosus,Niphon spinosus,FC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P,NA,NA,NA,NA,NA,NA,NA
366,Actinopterygii (ray-finned fishes),Perciformes,Serranidae,Mycteroperca,phenax,Mycteroperca phenax,FC,NA,Fish-cephalopod feeder,NA,NA,PISC,NA,Piscivore-Invertivore,NA,NA,NA,P,NA,P,NA,P,NA,P,NA
367,Actinopterygii (ray-finned fishes),Perciformes,Grammatidae,Gramma,linki,Gramma linki,IM,NA,NA,NA,NA,MINV,NA,NA,NA,NA,NA,I,NA,NA,NA,I,NA,NA,NA
368,Actinopterygii (ray-finned fishes),Perciformes,Grammatidae,Gramma,melacara,Gramma melacara,IM,NA,NA,NA,NA,MINV,NA,Planktivores,NA,NA,NA,I,NA,NA,NA,I,NA,PK,NA
369,Actinopterygii (ray-finned fishes),Perciformes,Grammatidae,Lipogramma,anabantoides,Lipogramma anabantoides,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA
370,Actinopterygii (ray-finned fishes),Perciformes,Grammatidae,Lipogramma,evides,Lipogramma evides,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA
371,Actinopterygii (ray-finned fishes),Perciformes,Grammatidae,Lipogramma,klayi,Lipogramma klayi,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA
372,Actinopterygii (ray-finned fishes),Perciformes,Grammatidae,Lipogramma,regium,Lipogramma regium,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA
373,Actinopterygii (ray-finned fishes),Perciformes,Grammatidae,Lipogramma,roseum,Lipogramma roseum,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA
374,Actinopterygii (ray-finned fishes),Perciformes,Serranidae,Mycteroperca,rubra,Mycteroperca rubra,FC,NA,Fish-cephalopod feeder,NA,NA,PISC,NA,NA,NA,NA,NA,P,NA,P,NA,P,NA,NA,NA
375,Actinopterygii (ray-finned fishes),Perciformes,Cheilodactylidae,Chirodactylus,grandis,Chirodactylus grandis,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA
376,Actinopterygii (ray-finned fishes),Perciformes,Serranidae,Mycteroperca,tigris,Mycteroperca tigris,FC,NA,Fish-cephalopod feeder,NA,NA,PISC,NA,Top Predator,NA,NA,#REF!,P,NA,P,NA,P,NA,P,P
377,Actinopterygii (ray-finned fishes),Perciformes,Serranidae,Mycteroperca,venenosa,Mycteroperca venenosa,FC,NA,Fish-cephalopod feeder,NA,NA,PISC,NA,Top Predator,NA,NA,NA,P,NA,P,NA,P,NA,P,NA
378,Actinopterygii (ray-finned fishes),Perciformes,Serranidae,Paranthias,furcifer,Paranthias furcifer,PK,NA,Planktivore,NA,NA,DPLA,NA,NA,Pk,NA,#REF!,PK,NA,PK,NA,PK,NA,NA,PK
379,Actinopterygii (ray-finned fishes),Perciformes,Pempheridae,Pempheris,poeyi,Pempheris poeyi,PK,NA,NA,NA,NA,NPLA,NA,NA,NA,NA,NA,PK,NA,NA,NA,PK,NA,NA,NA
380,Actinopterygii (ray-finned fishes),Perciformes,Serranidae,Paralabrax,dewegeri,Paralabrax dewegeri,FC,NA,NA,NA,NA,MCAR,NA,NA,NA,NA,NA,P,NA,NA,NA,P,NA,NA,NA
381,Actinopterygii (ray-finned fishes),Perciformes,Sparidae,Archosargus,rhomboidalis,Archosargus rhomboidalis,OM,NA,Omnivore,NA,NA,MALG,NA,NA,NA,BI + V,NA,O,NA,O,NA,H,NA,NA,NA
382,Actinopterygii (ray-finned fishes),Perciformes,Sparidae,Calamus,arctifrons,Calamus arctifrons,IM,NA,NA,NA,NA,SAND,NA,NA,NA,NA,NA,I,NA,NA,NA,I,NA,NA,NA
383,Actinopterygii (ray-finned fishes),Perciformes,Sparidae,Calamus,bajonado,Calamus bajonado,IM,NA,NA,NA,NA,SAND,NA,NA,NA,NA,#REF!,I,NA,NA,NA,I,NA,NA,I
384,Actinopterygii (ray-finned fishes),Perciformes,Sparidae,Calamus,calamus,Calamus calamus,IM,NA,NA,NA,NA,SAND,NA,Macro-Invertivore,NA,NA,#REF!,I,NA,NA,NA,I,NA,I,I
385,Actinopterygii (ray-finned fishes),Perciformes,Kyphosidae,Atypichthys,latus,Atypichthys latus,PK,NA,NA,NA,NA,NA,NA,NA,NA,NA,#REF!,PK,NA,NA,NA,NA,NA,NA,I
386,Actinopterygii (ray-finned fishes),Perciformes,Kyphosidae,Girella,simplicidens,Girella simplicidens,OM,NA,NA,NA,NA,NA,NA,NA,NA,NA,#REF!,O,NA,NA,NA,NA,NA,NA,H
387,Actinopterygii (ray-finned fishes),Perciformes,Kyphosidae,Kyphosus,elegans,Kyphosus elegans,HM,NA,NA,NA,NA,NA,NA,NA,NA,NA,#REF!,H,NA,NA,NA,NA,NA,NA,H
388,Actinopterygii (ray-finned fishes),Perciformes,Kyphosidae,Neatypus,obliquus,Neatypus obliquus,HM,NA,NA,NA,NA,NA,NA,NA,NA,NA,#REF!,H,NA,NA,NA,NA,NA,NA,H
389,Actinopterygii (ray-finned fishes),Perciformes,Kyphosidae,Scorpis,violacea,Scorpis violacea,PK,NA,NA,NA,NA,NA,NA,NA,NA,NA,#REF!,PK,NA,NA,NA,NA,NA,NA,PK
390,Actinopterygii (ray-finned fishes),Perciformes,Sparidae,Calamus,cervigoni,Calamus cervigoni,IM,NA,NA,NA,NA,SAND,NA,NA,NA,NA,NA,I,NA,NA,NA,I,NA,NA,NA
391,Actinopterygii (ray-finned fishes),Perciformes,Sparidae,Calamus,leucosteus,Calamus leucosteus,IM,NA,Mobile invertebrate feeder,NA,NA,SAND,NA,NA,NA,NA,NA,I,NA,I,NA,I,NA,NA,NA
392,Actinopterygii (ray-finned fishes),Perciformes,Chaetodontidae,Chaetodon,declivis,Chaetodon declivis,PK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PK,NA,NA,NA,NA,NA,NA,NA
393,Actinopterygii (ray-finned fishes),Perciformes,Sparidae,Calamus,nodosus,Calamus nodosus,IM,NA,Mobile invertebrate feeder,NA,NA,SAND,NA,NA,NA,NA,NA,I,NA,I,NA,I,NA,NA,NA
394,Actinopterygii (ray-finned fishes),Perciformes,Chaetodontidae,Prognathodes,dichrous,Prognathodes dichrous,IM,NA,NA,NA,NA,SINV,NA,NA,NA,NA,NA,I,NA,NA,NA,I,NA,NA,NA
395,Actinopterygii (ray-finned fishes),Perciformes,Sparidae,Calamus,penna,Calamus penna,IM,NA,Mobile invertebrate feeder,NA,NA,SAND,NA,NA,NA,NA,NA,I,NA,I,NA,I,NA,NA,NA
396,Actinopterygii (ray-finned fishes),Perciformes,Chaetodontidae,Chaetodon,fasciatus,Chaetodon fasciatus,IS,NA,NA,NA,NA,NA,NA,NA,NA,NA,#REF!,I,NA,NA,NA,NA,NA,NA,I
397,Actinopterygii (ray-finned fishes),Perciformes,Sparidae,Calamus,pennatula,Calamus pennatula,IM,NA,NA,NA,NA,SAND,NA,NA,Om,NA,#REF!,I,NA,NA,NA,I,NA,NA,I
398,Actinopterygii (ray-finned fishes),Perciformes,Chaetodontidae,Chaetodon,larvatus,Chaetodon larvatus,IS,NA,Sessile invertebrate feeder,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,I,NA,NA,NA,NA,NA
399,Actinopterygii (ray-finned fishes),Perciformes,Sparidae,Calamus,proridens,Calamus proridens,IM,NA,Mobile invertebrate feeder,NA,NA,SAND,NA,NA,NA,NA,NA,I,NA,I,NA,I,NA,NA,NA
400,Actinopterygii (ray-finned fishes),Perciformes,Chaetodontidae,Chaetodon,paucifasciatus,Chaetodon paucifasciatus,IS,NA,NA,NA,NA,NA,NA,NA,NA,NA,#REF!,I,NA,NA,NA,NA,NA,NA,I
401,Actinopterygii (ray-finned fishes),Perciformes,Sparidae,Diplodus,argenteus caudimacula,Diplodus argenteus caudimacula,OM,NA,NA,NA,NA,OMNI,NA,NA,NA,NA,NA,O,NA,NA,NA,O,NA,NA,NA
402,Actinopterygii (ray-finned fishes),Perciformes,Chaetodontidae,Chaetodon,semilarvatus,Chaetodon semilarvatus,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,#REF!,I,NA,NA,NA,NA,NA,NA,I
403,Actinopterygii (ray-finned fishes),Perciformes,Chaetodontidae,Heniochus,intermedius,Heniochus intermedius,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,#REF!,I,NA,NA,NA,NA,NA,NA,I
404,Actinopterygii (ray-finned fishes),Perciformes,Sparidae,Diplodus,holbrookii,Diplodus holbrookii,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA
405,Actinopterygii (ray-finned fishes),Perciformes,Chaetodontidae,Johnrandallia,nigrirostris,Johnrandallia nigrirostris,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,#REF!,I,NA,NA,NA,NA,NA,NA,I
406,Actinopterygii (ray-finned fishes),Perciformes,Serranidae,Serranus,flaviventris,Serranus flaviventris,IM,NA,NA,NA,NA,MINV,NA,NA,NA,NA,#REF!,I,NA,NA,NA,I,NA,NA,I
407,Actinopterygii (ray-finned fishes),Perciformes,Sparidae,Stenotomus,caprinus,Stenotomus caprinus,IM,NA,NA,NA,NA,OMNI,NA,NA,NA,NA,NA,I,NA,NA,NA,O,NA,NA,NA
408,Actinopterygii (ray-finned fishes),Perciformes,Serranidae,Liopropoma,carmabi,Liopropoma carmabi,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA
409,Actinopterygii (ray-finned fishes),Perciformes,Sphyraenidae,Sphyraena,barracuda,Sphyraena barracuda,FC,NA,Fish-cephalopod feeder,NA,NA,NA,Piscivore,Top Predator,NA,F,#REF!,P,NA,P,NA,NA,P,P,P
410,Actinopterygii (ray-finned fishes),Perciformes,Pentacerotidae,Evistias,acutirostris,Evistias acutirostris,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,#REF!,I,NA,NA,NA,NA,NA,NA,I
411,Actinopterygii (ray-finned fishes),Perciformes,Pentacerotidae,Pentaceros,decacanthus,Pentaceros decacanthus,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA
412,Actinopterygii (ray-finned fishes),Perciformes,Sphyraenidae,Sphyraena,guachancho,Sphyraena guachancho,FC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P,NA,NA,NA,NA,NA,NA,NA
413,Actinopterygii (ray-finned fishes),Perciformes,Sphyraenidae,Sphyraena,picudilla,Sphyraena picudilla,FC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P,NA,NA,NA,NA,NA,NA,NA
414,Actinopterygii (ray-finned fishes),Tetraodontiformes,Tetraodontidae,Sphoeroides,nephelus,Sphoeroides nephelus,IS,NA,NA,NA,NA,SINV,NA,NA,NA,NA,NA,I,NA,NA,NA,I,NA,NA,NA
415,Actinopterygii (ray-finned fishes),Perciformes,Apogonidae,Apogon,mosavi,Apogon mosavi,PK,NA,NA,NA,NA,NPLA,NA,NA,NA,NA,NA,PK,NA,NA,NA,PK,NA,NA,NA
416,Actinopterygii (ray-finned fishes),Tetraodontiformes,Tetraodontidae,Sphoeroides,spengleri,Sphoeroides spengleri,IS,NA,NA,NA,NA,SINV,NA,Macro-Invertivore,In,NA,#REF!,I,NA,NA,NA,I,NA,I,I
417,Actinopterygii (ray-finned fishes),Perciformes,Pomacentridae,Stegastes,adustus,Stegastes adustus,HD,NA,NA,NA,NA,THER,NA,NA,NA,NA,#REF!,H,NA,NA,NA,H,NA,NA,H
418,Actinopterygii (ray-finned fishes),Perciformes,Pomacentridae,Stegastes,pictus,Stegastes pictus,OM,NA,NA,NA,NA,THER,NA,NA,Hb,NA,#REF!,O,NA,NA,NA,H,NA,NA,H
419,Actinopterygii (ray-finned fishes),Perciformes,Pomacentridae,Chromis,flavomaculata,Chromis flavomaculata,PK,NA,NA,NA,NA,NA,NA,NA,NA,NA,#REF!,PK,NA,NA,NA,NA,NA,NA,PK
420,Actinopterygii (ray-finned fishes),Perciformes,Pomacentridae,Chromis,lubbocki,Chromis lubbocki,PK,NA,NA,NA,NA,DPLA,NA,NA,NA,NA,NA,PK,NA,NA,NA,PK,NA,NA,NA
421,Actinopterygii (ray-finned fishes),Tetraodontiformes,Tetraodontidae,Sphoeroides,testudineus,Sphoeroides testudineus,IS,NA,Sessile invertebrate feeder,NA,NA,SINV,NA,NA,In,NA,NA,I,NA,I,NA,I,NA,NA,NA
422,Actinopterygii (ray-finned fishes),Perciformes,Pomacentridae,Chromis,mirationis,Chromis mirationis,PK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PK,NA,NA,NA,NA,NA,NA,NA
423,Actinopterygii (ray-finned fishes),Perciformes,Pomacentridae,Chromis,nigroanalis,Chromis nigroanalis,PK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PK,NA,NA,NA,NA,NA,NA,NA
424,Actinopterygii (ray-finned fishes),Perciformes,Pomacentridae,Chromis,nigrura,Chromis nigrura,PK,NA,NA,NA,NA,NA,NA,NA,NA,NA,#REF!,PK,NA,NA,NA,NA,NA,NA,PK
425,Actinopterygii (ray-finned fishes),Perciformes,Pomacentridae,Chromis,notata,Chromis notata,PK,NA,NA,NA,NA,NA,NA,NA,NA,NA,#REF!,PK,NA,NA,NA,NA,NA,NA,PK
426,Actinopterygii (ray-finned fishes),Perciformes,Pomacentridae,Chromis,opercularis,Chromis opercularis,PK,NA,NA,NA,NA,NA,NA,NA,NA,NA,#REF!,PK,NA,NA,NA,NA,NA,NA,PK
427,Actinopterygii (ray-finned fishes),Perciformes,Pomacentridae,Chromis,pelloura,Chromis pelloura,PK,NA,NA,NA,NA,NA,NA,NA,NA,NA,#REF!,PK,NA,NA,NA,NA,NA,NA,PK
428,Actinopterygii (ray-finned fishes),Perciformes,Pomacentridae,Chromis,pembae,Chromis pembae,PK,NA,NA,NA,NA,NA,NA,NA,NA,NA,#REF!,PK,NA,NA,NA,NA,NA,NA,PK
429,Actinopterygii (ray-finned fishes),Perciformes,Pomacentridae,Chromis,sanctaehelenae,Chromis sanctaehelenae,PK,NA,NA,NA,NA,DPLA,NA,NA,NA,NA,NA,PK,NA,NA,NA,PK,NA,NA,NA
430,Actinopterygii (ray-finned fishes),Perciformes,Pomacentridae,Chromis,scotochiloptera,Chromis scotochiloptera,PK,NA,NA,NA,NA,NA,NA,NA,NA,NA,#REF!,PK,NA,NA,NA,NA,NA,NA,PK
