ID,Class,Order,Family,Genus,Species,Genus_and_species_,Genus_and_species,Gaspar,Mouillot,Nick_WIO,Morais,Brandl,Nick_Pacific,Halpern,Yeager,Newman,Rangel,Nagelkerken,RLS,Siquiera,Andradi-Brown,Wyatt,Honorio,Clark,Harvey,Ilarri,Mendes,Parrish,Pastro,Rodríguez-Zaragoza,Alvarez-Filip,Bertoncini,Chaves,Johnson,Kattan,Leal,Paula,Pereira,Ramos,Rosa,Williams,Unsworth
626,Actinopterygii (ray-finned fishes),Perciformes,Labridae,Macropharyngodon,ornatus,Macropharyngodon_ornatus,Macropharyngodon ornatus,IM,,NA,NA,NA,NA,NA,NA,NA,NA,NA,Benthic invertivore,MI,NA,Carnivores,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
627,Actinopterygii (ray-finned fishes),Perciformes,Serranidae,Pogonoperca,punctata,Pogonoperca_punctata,Pogonoperca punctata,FC,,NA,NA,NA,NA,NA,Diurnal piscivore,NA,NA,NA,Benthic invertivore,GC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
628,Actinopterygii (ray-finned fishes),Perciformes,Labridae,Cirrhilabrus,scottorum,Cirrhilabrus_scottorum,Cirrhilabrus scottorum,PK,,NA,NA,NA,NA,NA,NA,NA,NA,NA,Benthic invertivore,PK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
629,Actinopterygii (ray-finned fishes),Perciformes,Labridae,Coris,bulbifrons,Coris_bulbifrons,Coris bulbifrons,IM,,NA,NA,NA,NA,NA,NA,NA,NA,NA,Benthic invertivore,MI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
630,Actinopterygii (ray-finned fishes),Perciformes,Serranidae,Nemanthias,carberryi,Nemanthias_carberryi,Nemanthias carberryi,PK,,NA,NA,NA,NA,DPLA,NA,NA,NA,NA,NA,PK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
631,Actinopterygii (ray-finned fishes),Perciformes,Serranidae,Pseudanthias,bimaculatus,Pseudanthias_bimaculatus,Pseudanthias bimaculatus,PK,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
632,Actinopterygii (ray-finned fishes),Perciformes,Serranidae,Pseudanthias,pulcherrimus,Pseudanthias_pulcherrimus,Pseudanthias pulcherrimus,PK,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
633,Actinopterygii (ray-finned fishes),Perciformes,Pseudochromidae,Pseudochromis,flavivertex,Pseudochromis_flavivertex,Pseudochromis flavivertex,IM,,NA,NA,InvMobMac,NA,NA,NA,NA,NA,NA,Benthic invertivore,MI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
634,Actinopterygii (ray-finned fishes),Perciformes,Callionymidae,Synchiropus,picturatus,Synchiropus_picturatus,Synchiropus picturatus,IM,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
635,Actinopterygii (ray-finned fishes),Perciformes,Pseudochromidae,Pseudochromis,fridmani,Pseudochromis_fridmani,Pseudochromis fridmani,IM,,NA,NA,NA,NA,NA,NA,NA,NA,NA,Benthic invertivore,MI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
636,Actinopterygii (ray-finned fishes),Perciformes,Pseudochromidae,Pectinochromis,lubbocki,Pectinochromis_lubbocki,Pectinochromis lubbocki,IM,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
637,Actinopterygii (ray-finned fishes),Tetraodontiformes,Ostraciidae,Ostracion,cyanurus,Ostracion_cyanurus,Ostracion cyanurus,IM,,NA,NA,NA,NA,NA,NA,NA,NA,NA,Benthic invertivore,OM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
638,Actinopterygii (ray-finned fishes),Perciformes,Labridae,Bodianus,loxozonus,Bodianus_loxozonus,Bodianus loxozonus,IM,,NA,NA,NA,NA,NA,Invertivore,NA,NA,NA,Benthic invertivore,MI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
639,Actinopterygii (ray-finned fishes),Perciformes,Labridae,Halichoeres,purpurescens,Halichoeres_purpurescens,Halichoeres purpurescens,IM,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
640,Actinopterygii (ray-finned fishes),Perciformes,Apogonidae,Apogon,thermalis,Apogon_thermalis,Apogon thermalis,PK,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
641,Actinopterygii (ray-finned fishes),Perciformes,Gobiidae,Cryptocentrus,caeruleopunctatus,Cryptocentrus_caeruleopunctatus,Cryptocentrus caeruleopunctatus,OM,,NA,NA,NA,NA,NA,NA,NA,NA,NA,Benthic invertivore,OM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
642,Actinopterygii (ray-finned fishes),Perciformes,Ptereleotridae,Nemateleotris,helfrichi,Nemateleotris_helfrichi,Nemateleotris helfrichi,PK,,NA,NA,NA,NA,NA,Diurnal planktivore,NA,NA,NA,NA,PK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
643,Actinopterygii (ray-finned fishes),Perciformes,Gobiidae,Trimma,taylori,Trimma_taylori,Trimma taylori,PK,,NA,NA,NA,NA,NA,NA,NA,NA,NA,Benthic invertivore,OM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
644,Actinopterygii (ray-finned fishes),Beryciformes,Holocentridae,Myripristis,randalli,Myripristis_randalli,Myripristis randalli,PK,,NA,NA,NA,NA,NA,NA,NA,NA,NA,Planktivore,PK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
645,Actinopterygii (ray-finned fishes),Perciformes,Gobiidae,Trimma,tevegae,Trimma_tevegae,Trimma tevegae,PK,,NA,NA,NA,NA,NA,NA,NA,NA,NA,Benthic invertivore,OM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
646,Actinopterygii (ray-finned fishes),Perciformes,Blenniidae,Meiacanthus,mossambicus,Meiacanthus_mossambicus,Meiacanthus mossambicus,IM,,NA,NA,NA,NA,NA,NA,NA,NA,NA,Benthic invertivore,MI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
647,Actinopterygii (ray-finned fishes),Beryciformes,Holocentridae,Pristilepis,oligolepis,Pristilepis_oligolepis,Pristilepis oligolepis,FC,,NA,NA,NA,NA,NA,NA,NA,NA,NA,Planktivore,GC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
648,Actinopterygii (ray-finned fishes),Perciformes,Tripterygiidae,Helcogramma,vulcana,Helcogramma_vulcana,Helcogramma vulcana,OM,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
649,Actinopterygii (ray-finned fishes),Perciformes,Serranidae,Hypoplectrus,puella,Hypoplectrus_puella,Hypoplectrus puella,IM,,NA,NA,NA,NA,MINV,NA,NA,NA,NA,Benthic invertivore,GC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carnivore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
650,Actinopterygii (ray-finned fishes),Perciformes,Gobiidae,Platygobiopsis,akihito,Platygobiopsis_akihito,Platygobiopsis akihito,OM,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
